COUNTRY;2019;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Belgium;11455519;11507338;11661206;11757990;11835820;11894881;11927324;11926987;11900354;11865788;11841493;11833541;11835088;11836508;11835842;11836801;11843931;11854389
Bulgaria;7000039;6949549;6690388;6450296;6224049;6016719;5828425;5655026;5490809;5332585;5182122;5045851;4930919;4841511;4780227;4748136;4738465;4737768
Czechia;10649800;10693861;10789806;10762174;10694436;10625402;10571354;10530251;10484879;10414088;10316335;10213463;10135219;10096616;10092102;10115533;10159885;10207345
Denmark;5806081;5811651;5884275;5963578;6018816;6055503;6080087;6098190;6111785;6122611;6135199;6153605;6176011;6197237;6211904;6221306;6232099;6247128
Germany;83019213;83135181;83482307;83453697;83318670;83178426;82983422;82669724;82248032;81842817;81643599;81695911;81860528;82024654;82206988;82460551;82802989;83201514
Estonia;1324820;1329916;1322440;1308435;1294043;1281555;1269633;1256223;1241009;1224839;1208861;1193810;1179861;1166985;1156184;1149320;1146523;1145053
Ireland;4904240;4966879;5272930;5504390;5714371;5904540;6073416;6213191;6319998;6398732;6455703;6496490;6527024;6553563;6578345;6598023;6608821;6610753
Greece;10724599;10696535;10510196;10303200;10104622;9910798;9713851;9503127;9275824;9038456;8808147;8603587;8440047;8323658;8247927;8198911;8165189;8142699
Spain;46937060;47321434;48310619;48746399;49110869;49377094;49479880;49348530;48962188;48385094;47728675;47104113;46610064;46298547;46133205;46026075;45917623;45789061
France;67012883;67197367;68036808;68749400;69354321;69802409;70015780;70010903;69874367;69680713;69513952;69429375;69415942;69424614;69444994;69501144;69582477;69651714
Croatia;4076246;4056285;3936509;3828089;3721032;3612487;3502067;3392559;3289125;3195202;3110857;3034601;2966083;2906946;2858581;2820808;2793176;2775929
Italy;60359546;60286529;60088529;59942512;59709982;59375006;58870898;58125032;57131834;55989561;54875845;53951155;53274219;52793198;52402869;52042682;51708538;51415877
Cyprus;875899;887331;928295;962854;990814;1012858;1030807;1046219;1060363;1074126;1087160;1098070;1105861;1110467;1112719;1114031;1115712;1118198
Latvia;1919968;1907094;1815550;1712746;1618827;1536108;1462550;1395039;1332302;1275102;1224806;1181968;1146289;1117481;1096480;1084591;1080838;1081686
Lithuania;2794184;2793592;2707915;2575553;2452313;2339698;2236142;2137939;2044673;1959630;1886272;1825897;1777648;1738949;1708535;1688303;1679531;1680055
Luxembourg;613894;626031;662364;692722;718104;739137;756215;769048;777714;782884;785866;787429;787829;787026;785407;783653;782306;781193
Hungary;9772756;9771975;9697220;9619020;9532830;9441139;9350754;9270352;9197156;9117095;9023553;8926914;8846058;8788851;8750117;8724890;8713625;8714260
Malta;493559;506951;557426;588691;614214;634910;652604;668373;682156;693613;702103;706915;707996;705925;701660;696817;692702;689359
Netherlands;17282163;17404793;17751055;17969884;18119551;18185792;18185796;18142292;18076179;18014595;17983158;17988244;18010401;18020249;18009343;17988115;17971254;17967454
Austria;8858775;8904262;9029008;9149001;9232708;9292363;9332840;9345829;9328259;9293065;9262385;9247303;9241159;9233330;9223934;9219300;9224015;9236567
Poland;37972812;37941122;37567248;37018453;36369328;35661656;34897373;34102204;33306428;32519968;31719540;30890756;30061943;29295630;28657545;28185373;27868033;27655094
Portugal;10276617;10291457;10220601;10089138;9948994;9786632;9593258;9375347;9144153;8910843;8686117;8481486;8314061;8193261;8110422;8050731;8006774;7980639
Romania;19414458;19281118;18507547;17808000;17169288;16576187;16018918;15502837;15015940;14540962;14089550;13688060;13359773;13110335;12939780;12838968;12792287;12780621
Slovenia;2080908;2095314;2114603;2106316;2094654;2081622;2065380;2043751;2017464;1989404;1962358;1938253;1917972;1902751;1893268;1889004;1888128;1888364
Slovakia;5450421;5457679;5467891;5440730;5384612;5312439;5232249;5147215;5055599;4953801;4841265;4724046;4612636;4516760;4442496;4391975;4362458;4346004
Finland;5517919;5527189;5537441;5519298;5480971;5426143;5361229;5290709;5218470;5150584;5091285;5037579;4981979;4921741;4860383;4803256;4755036;4715868
Sweden;10230185;10322613;10746886;11099033;11405423;11693373;11979369;12254064;12498850;12708255;12892854;13065090;13222578;13352899;13450874;13528669;13600411;13659849
Iceland;356991;365042;395636;416990;437131;455871;473187;489302;504728;519819;534554;548624;561859;574279;586186;598061;610441;623468
Norway;5328212;5367329;5568543;5765319;5941336;6095952;6232241;6351119;6453877;6544661;6628516;6709767;6787501;6855562;6911209;6958409;7003014;7046899
Switzerland;8544527;8580270;8811474;9076646;9318554;9542915;9756963;9959383;10144812;10319020;10497572;10689572;10891742;11099320;11314715;11542881;11786166;12042334
